,PC1,PC2,target
11608,0.9693063541017178,-0.9304756353577794,1.8529804420834375
11609,0.9602470980338171,-0.9090232466644781,2.8029354568375413
11610,1.0616725163341358,-1.0819652123068106,3.9676091402653584
11611,1.2401882581266759,-1.3906811624437956,2.918978670399512
11612,1.215963036502727,-1.3423091536029403,4.238601792833951
11613,1.3150524553055487,-1.5102178451327708,3.388191127034425
11614,1.2686375525096976,-1.42152075532431,2.977867524300602
11615,1.1753760520804475,-1.2495768419018818,3.523265101566876
11616,1.2095366239112566,-1.3014365346447625,3.1163158570099307
11617,1.1450355598945396,-1.1796108457309653,3.759760245111742
11618,1.2372315382548142,-1.3334457244561493,3.7477575635596296
11619,1.2980705434414175,-1.4322997901291739,2.271770583718902
11620,1.0434709912682285,-0.9757924300681386,2.211498933660108
11621,0.8098916895653181,-0.5556919205656894,1.1608761642594
11622,0.7052211464118142,-0.3627836849727876,1.0682619024130147
11623,0.6500793684251046,-0.25809156324386473,0.9900887638138708
11624,0.7351405907622935,-0.401363235513708,1.3839666732438207
11625,1.1915511752615526,-1.199525376781968,-0.6933755543380268
11626,0.8734478881366503,-0.635608211242626,0.6856239987714907
11627,0.9354655513781258,-0.7395136568097725,-1.7052335038704096
11628,0.6969659277426566,-0.31482961967699097,-1.338175703804974
11629,0.5063215091473869,0.025867685073564864,-2.1333125462291487
11630,0.4835151172644281,0.07062772353546257,-1.604939442674992
11631,0.5636798324844474,-0.06699355525760955,-1.097787898554307
11632,0.5170520061818601,0.01745521746269406,-0.6710427622299527
11633,0.5554764591288035,-0.048268053274022366,-1.0662880573026066
11634,0.5034580152723778,0.044584919782320404,-1.3631011713888244
11635,0.5100912221748455,0.033960938731559046,-0.2676400460523988
11636,0.6402520904688003,-0.1944684391652635,-2.107888840201904
11637,0.5300899544630386,-0.00038121026937532054,-1.2354847428087277
11638,0.6136931539403242,-0.14698780146933746,-1.3912077057994008
11639,0.5904888254168137,-0.10590688169866044,-1.6082133528777582
11640,0.5408008109763454,-0.018064771807305757,-1.8397073150596612
