spot_v_HF,spot_v_MF,spot_v_LF,HF_ema_diff,MF_ema_diff,LF_ema_diff,LDN,NY,Asia,target,Date,CCY,logret,Predictions,erf_signal,scaled_signal,scaled_signal_erf,strat_returns,strat_returns_sum,strat_returns_erf,strat_returns_sum_erf
-0.7447686759901649,-1.1160471137238503,-1.2997789456115785,-0.8038412104894547,-1.03032513687965,-1.1747426606378357,1.0,0.0,0,0.007305455362236431,2010-04-08 12:00:00,1.33145,0.00037560096595412595,-1.0,-0.4621171572600098,-1.0,-0.46211715726000985,-0.00037560096595412595,-0.045622521707773915,-0.00017357165065083442,-0.021082950038629557
-0.9173856730688773,-1.1541102749466956,-1.323037936350658,-0.8197135011679437,-1.031535078953142,-1.1753132560396824,0.5,0.5,0,0.004305752014158788,2010-04-08 13:00:00,1.32975,-0.0012776192929837007,-1.0,-0.4621171572600098,-1.0,-0.46211715726000985,0.0012776192929837007,-0.044344902414790215,0.0005904097957341714,-0.020492540242895384
-0.5784219700342739,-1.087079225987203,-1.2832782756763137,-0.8013927547914381,-1.0324182089773795,-1.1758308126255783,0.5,0.5,0,0.007844349364636967,2010-04-08 14:00:00,1.33255,0.0021034451657430675,-1.0,-0.4621171572600098,-1.0,-0.46211715726000985,-0.0021034451657430675,-0.04644834758053328,-0.0009720381004454966,-0.02146457834334088
-0.4886718739728469,-1.0680861848479626,-1.2722507535684706,-0.7768969938327266,-1.0332060447798643,-1.176333280652478,0.5,0.5,0,0.006679004698368914,2010-04-08 15:00:00,1.3333,0.0005626723332426975,-1.0,-0.4621171572600098,-1.0,-0.46211715726000985,-0.0005626723332426975,-0.04701101991377598,-0.0002600205391069723,-0.021724598882447856
-0.23652948154235942,-1.0141657758867653,-1.2402342905360655,-0.7312480343570703,-1.0337321447915666,-1.1767929988843524,0.5,0.5,0,0.00786539756519234,2010-04-08 16:00:00,1.33555,0.0016861198891377494,-1.0,-0.4621171572600098,-1.0,-0.46211715726000985,-0.0016861198891377494,-0.04869713980291373,-0.0007791849299678997,-0.022503783812415756
-0.19342299523113016,-1.001236574315078,-1.2327396696131674,-0.6870048754778472,-1.0341939688174406,-1.177242354138103,0.5,0.5,0,0.008876680694262791,2010-04-08 17:00:00,1.33605,0.0003743075354377123,-1.0,-0.4621171572600098,-1.0,-0.46211715726000985,-0.0003743075354377123,-0.04907144733835144,-0.000172973934217476,-0.022676757746633233
-0.36271161679148245,-1.032667722062198,-1.251846959651883,-0.6643874781071042,-1.0348039630084889,-1.1777164390693287,0.0,1.0,0,0.008987399906623735,2010-04-08 18:00:00,1.33465,-0.001048414369443862,-1.0,-0.4621171572600098,-1.0,-0.46211715726000985,0.001048414369443862,-0.04802303296890758,0.0004844902680379432,-0.02219226747859529
-0.3530760226599499,-1.0290153506870547,-1.2499447932231387,-0.6435512517157052,-1.0353935588823124,-1.178187519243057,0.0,1.0,0,0.007834107066719671,2010-04-08 19:00:00,1.33475,7.492320375135364e-05,-1.0,-0.4621171572600098,-1.0,-0.46211715726000985,-7.492320375135364e-05,-0.04809795617265893,-3.462329793038805e-05,-0.02222689077652568
-0.3208462170288124,-1.020709993301121,-1.2452445077122705,-0.6220721263916351,-1.0359406283185253,-1.1786519081043385,0.0,1.0,0,0.010728757358975057,2010-04-08 20:00:00,1.33505,0.00022473593622190924,-1.0,-0.4621171572600098,-1.0,-0.46211715726000985,-0.00022473593622190924,-0.04832269210888084,-0.00010385433198103557,-0.022330745108506717
-0.32869553563017195,-1.0205936240002336,-1.245445789319749,-0.6038538700508522,-1.0364845639954585,-1.1791160772557419,0.0,1.0,0,0.010312632114701688,2010-04-08 21:00:00,1.335,-3.745248216768804e-05,-1.0,-0.4621171572600098,-1.0,-0.46211715726000985,3.745248216768804e-05,-0.048285239626713154,1.730743459166321e-05,-0.022313437673915054
