ESI_EURUSD_spread_madiff,ESI_G10_normalised_madiff,ESI_Global_normalised_madiff,EDI_EURUSD_spread_madiff,EDI_G10_normalised_madiff,EDI_Global_normalised_madiff,Date,RF_erf,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret
-5.293511378874001,10.574212982498024,7.786788418430035,9.35894382188501,7.845177560950606,4.446104488578413,2016-12-12,-0.0008391469999999999,-0.0007546749999999905,0.002620761484000014,0.0029538921825873056,1,-0.0008391469999999999,0.02714244400000008,0.08272975599999999
-5.403807398769288,10.809575462420769,8.016884848611825,9.201594611282305,7.978327913500168,4.568924846616909,2016-12-13,0.0004218350000000001,0.00048316900000000974,0.003206915661619061,0.0028340434443174644,1,0.0004218350000000001,0.02756427900000008,0.08315159099999998
-5.486567899386301,11.018693865123415,8.224983934353107,9.081737963697128,8.072344743635552,4.656431031879934,2016-12-14,-0.0001058310000000002,-0.0007078729999999903,0.003301958607507951,0.002754066791021168,1,-0.0001058310000000002,0.02745844800000008,0.08304575999999998
-5.567695113408462,11.31375477982106,8.511749826070883,8.937439800188212,8.269070224432246,4.839294228605353,2016-12-15,0.0004935180000000001,0.0004433410000000103,0.003173494223000015,0.0027623029840559373,1,0.0004935180000000001,0.027951966000000078,0.08353927799999998
-5.634378085548576,11.579792456021032,8.780366052316822,8.924881416734653,8.363592061699482,4.95204498825396,2016-12-16,0.00022152199999999996,0.0037348460000000113,0.002350128986222236,0.0027787300515774794,1,0.00022152199999999996,0.028173488000000076,0.08376079999999998
-5.7835571601698925,12.326622624723804,9.542076272996953,8.889837419699699,8.635085395733121,5.287329317709947,2016-12-19,-0.0014241520000000001,0.004908188000000011,-0.002253925920962951,0.0027832393664240403,1,-0.0014241520000000001,0.026749336000000075,0.08233664799999998
-5.810231018785488,12.576236691464109,9.800664046552383,8.882283461790912,8.738645054021367,5.422015573859113,2016-12-20,-0.0008119330000000001,0.007154148000000011,-0.0021610016654073946,0.00274064192931822,1,-0.0008119330000000001,0.025937403000000074,0.08152471499999998
-5.833267215660328,12.807476082831776,10.042449516020355,8.874108836704591,8.837073680417936,5.5588128478104295,2016-12-21,-0.0012313800000000002,0.009534721000000012,-0.0019304595133650666,0.0024702718153094016,1,-0.0012313800000000002,0.024706023000000073,0.08029333499999998
-5.932903879467148,13.075806428610685,10.312442927402401,8.862272464998746,8.947195694952345,5.707454497426141,2016-12-22,-0.000603127,0.012286210000000011,-0.0009792960011428436,0.002215651347543969,1,-0.000603127,0.024102896000000075,0.07969020799999998
-6.046136348348483,13.34002400036912,10.59647254517992,8.830026696254842,9.065952722078212,5.884096311291258,2016-12-23,0.0003041750000000001,0.01147213400000001,-0.0005315978951428448,0.001967754894680023,1,0.0003041750000000001,0.024407071000000075,0.07999438299999999
-6.344827062199812,14.037998898353699,11.35169528833302,8.731125630149581,9.37564209563251,6.354705515607237,2016-12-26,-6.990699999999998e-05,0.012157693000000011,-0.0009144342569761795,0.001767624638800205,1,-6.990699999999998e-05,0.024337164000000074,0.079924476
-6.439428786217433,14.266967039574196,11.598409994616615,8.69156020294653,9.462659441118976,6.501018255073688,2016-12-27,0.00017678399999999993,0.00978807100000001,-0.0008790008169761791,0.0015826178272801746,1,0.00017678399999999993,0.024513948000000074,0.08010126
-6.528651542289537,14.488873439786218,11.829449846535086,8.714549765114608,9.581822500680722,6.675068501667327,2016-12-28,-0.0006489140000000001,0.010541530000000009,-0.0007509368077222104,0.0013826607030537948,1,-0.0006489140000000001,0.023865034000000073,0.079452346
-6.612480729695562,14.69703580450436,12.07462341052289,8.744544405778973,9.702517998141747,6.912597313225818,2016-12-29,-5.098899999999994e-05,0.00813156800000001,-0.0007191645262777666,0.0012165596300231824,1,-5.098899999999994e-05,0.023814045000000072,0.07940135699999999
-6.690606036429102,14.891424066831751,12.317714709631955,8.771055700755129,9.814960008846898,7.1439840863496045,2016-12-30,0.002667086,0.01124138000000001,-0.0004827722162777664,0.0010593646233274152,1,0.002667086,0.02648113100000007,0.08206844299999999
-6.893384805594478,15.398273370611058,12.982175692487118,8.831340027980094,10.106566455515155,7.806507626836422,2017-01-02,-0.0007382669999999999,0.01232313400000001,0.0005862579954819735,0.0008964308722824414,1,-0.0007382669999999999,0.02574286400000007,0.08133017599999999
-6.992646084565762,15.601233060003288,13.267852714029855,8.829924437369453,10.23130561279888,8.094043868264563,2017-01-03,-0.002324657,0.008660062000000008,0.0011606213974819728,0.0007381106951898487,1,-0.002324657,0.02341820700000007,0.079005519
-7.0487904605591885,15.814669407625045,13.555978732882776,8.918784033375543,10.407663444845433,8.41847202874034,2017-01-04,0.003405616000000001,0.00748765100000001,0.0014983920342597518,0.0006502373729799948,1,0.003405616000000001,0.02682382300000007,0.082411135
-7.123586930428445,16.03505055730386,13.863193676501991,8.971840700288078,10.598043937631653,8.7324498325125,2017-01-05,0.0020518789999999986,0.00835726100000001,0.0013293419939365194,0.0005939816979870722,1,0.0020518789999999986,0.02887570200000007,0.08446301399999999
-7.077163369724786,16.23744927162062,14.147517913315255,9.138284513649296,10.848214068685813,9.110211423934173,2017-01-06,-0.002504735,0.00464414500000001,0.0017632663822698517,0.0005544112207243083,1,-0.002504735,0.026370967000000068,0.081958279
-6.908260137454704,16.78781376138901,14.928943135977905,9.603129626998939,11.528698533638925,10.137625585270284,2017-01-09,0.002275795,0.00651664300000001,0.0017483478713333448,0.0005279200658271047,1,0.002275795,0.02864676200000007,0.08423407399999999
-6.891627879208813,16.997934114360934,15.21382240194572,9.669537655959852,11.815159338718324,10.532947990290012,2017-01-10,-0.0012239330000000002,0.00531169100000001,0.0019291780557777894,0.0005233289478346631,1,-0.0012239330000000002,0.02742282900000007,0.083010141
-6.874272132372056,17.201247707166182,15.496027716884385,9.73042507884087,12.09004670936865,10.931287537043872,2017-01-11,-0.0006132249999999996,0.00363733300000001,0.002275830705333344,0.0005303284293743455,1,-0.0006132249999999996,0.02680960400000007,0.082396916
-6.846497434807674,17.413865036549687,15.80900996165633,9.815049088856117,12.378521457252411,11.402193362558831,2017-01-12,0.001132013,0.00235473200000001,0.002075431712000011,0.0004973958851732871,1,0.001132013,0.02794161700000007,0.083528929
-6.8231198809704665,17.614583722658047,16.113857208523456,9.930716093993878,12.622257803940913,11.823781288561378,2017-01-13,-0.0006975239999999999,0.0001963710000000099,0.0019555432839047735,0.00045305850630253874,1,-0.0006975239999999999,0.02724409300000007,0.082831405
-6.7508655996147695,18.129733967837513,16.928611057551734,10.230903647184359,13.254112537860527,12.954647231472135,2017-01-16,0.0013727360000000005,-0.0020505279999999907,0.0020201392397936626,0.00039465246365930355,1,0.0013727360000000005,0.02861682900000007,0.084204141
-6.716975265602316,18.298796995595122,17.198786186390805,10.311084383948328,13.433710034842573,13.298585998107171,2017-01-17,0.0018673530000000008,-0.004230186999999991,0.0025280707480317575,0.00033665479989286346,1,0.0018673530000000008,0.03048418200000007,0.086071494
-6.717161454861298,18.488021068003846,17.479683786689947,10.391867356074448,13.609641962652105,13.633254604420161,2017-01-18,0.00036140899999999993,-0.0066446979999999906,0.0025488464925714407,0.00032094100244388384,1,0.00036140899999999993,0.03084559100000007,0.08643290299999999
-6.7678630832560875,18.698728619602807,17.774769219998774,10.409160639225203,13.816858938113967,13.989520153689751,2017-01-19,0.0010145799999999995,-0.008329589999999991,0.0019142940691269975,0.0005486551295388699,1,0.0010145799999999995,0.03186017100000007,0.08744748299999999
-6.814488812829808,18.881217811428467,18.031509518779476,10.423231789970103,13.986542841885734,14.309939878417596,2017-01-20,0.001777446,-0.01064864999999999,0.0016663825805714428,0.0007729336132521478,1,0.001777446,0.03363761700000007,0.089224929
-6.929934379348224,19.355118369945966,18.706502821430806,10.447439717928981,14.424774763020134,15.163550361433566,2017-01-23,0.003055664,-0.010231109999999991,0.00037071304805557335,0.0009560171171803413,1,0.003055664,0.03669328100000007,0.092280593
-6.886534644216965,19.569395361674886,18.977937872217325,10.444313024405252,14.564131667553273,15.45757593195543,2017-01-24,-0.0008839829999999998,-0.011206369999999992,0.00041956974138890655,0.0010820018115476882,1,-0.0008839829999999998,0.03580929800000007,0.09139660999999999
