ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,LSTM1_erf,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret
100.52990167248669,14.02277153016083,14.750149085800693,31.951804931912665,2010-12-23,0.0005468539999999998,0.026255341000000147,0.03894335178116677,0.00775797685018661,1,0.0005468539999999998,-0.012240266000000001,-0.0455765
100.32405353460271,13.869796857061214,14.572438063227574,32.05604582858245,2010-12-24,0.0003811859999999995,0.028732426000000148,0.04108064334983341,0.009962727873051688,1,0.0003811859999999995,-0.011859080000000001,-0.045195314
99.63756683267911,13.428773687998381,14.124233066881006,32.29852226574407,2010-12-27,0.0024321029999999997,0.03274272000000015,0.046501225517000026,0.010525447628171302,1,0.0024321029999999997,-0.009426977000000001,-0.042763211
99.3797079693606,14.240013602592805,13.342491310528178,32.34729646939765,2010-12-28,-0.0022019719999999987,0.03119897700000015,0.04428242834460717,0.011157589114076064,1,-0.0022019719999999987,-0.011628949,-0.044965183
99.1341738775352,14.606149749920275,13.52257479571836,32.3981759418302,2010-12-29,0.005385704,0.014852784000000145,0.04311243876591671,0.011843655404111772,1,0.005385704,-0.006243245,-0.039579479
98.90682463228588,13.04867853236393,14.987850054803257,32.49064978254569,2010-12-30,0.0028986899999999998,0.021555316000000144,0.0434273206723334,0.012624579007014263,1,0.0028986899999999998,-0.003344555,-0.036680789
98.66924194224006,12.914991336181568,14.92774104247703,32.575504121639064,2010-12-31,0.0024627900000000003,0.034154748000000144,0.04418210826566672,0.013079889771926392,1,0.0024627900000000003,-0.0008817649999999996,-0.034217999
97.8760210303052,12.52821926463166,14.357460497858849,32.744241506829226,2011-01-03,0.002793667,0.031010599000000142,0.046456271725666694,0.013361890215025592,1,0.002793667,0.0019119020000000005,-0.031424332
97.5824215050732,12.403823227848315,14.295331834503761,32.813738208414435,2011-01-04,0.0008544700000000001,0.01587781900000014,0.046796505763166706,0.01354397239620019,1,0.0008544700000000001,0.0027663720000000004,-0.030569862
97.28402622007191,11.56860315212566,14.646049744560065,32.90736166973009,2011-01-05,-0.004741499999999999,0.02514958000000014,0.044871806385666735,0.01692229191216447,1,-0.004741499999999999,-0.0019751279999999987,-0.035311362
