ESI_EURUSD_spread_madiff,ESI_G10_normalised_madiff,ESI_Global_normalised_madiff,EDI_EURUSD_spread_madiff,EDI_G10_normalised_madiff,EDI_Global_normalised_madiff,Date,LSTM2_erf,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret
34.60386949849988,56.99027005546259,109.42998631165337,22.21815286675481,18.863054008839505,30.63595005348048,2010-11-19,0.002018900000000001,-0.008948392000000006,0.01851517148433332,0.004575172698634913,1,0.002018900000000001,-0.10873956900000009,-0.11807949600000009
34.377830812881825,56.24454998038942,108.19782619701097,22.070873032767263,19.15811013671587,30.6242488088335,2010-11-22,-0.003369991,0.0031101459999999955,0.01908082195099998,0.005290008780476182,1,-0.003369991,-0.1121095600000001,-0.12144948700000009
34.363378645638015,55.99308833894128,107.84570300225944,21.99564538915861,19.25497705066564,30.589527578380046,2010-11-23,-0.010935543000000002,0.006546345999999995,0.01909880243099998,0.006036689237619038,1,-0.010935543000000002,-0.1230451030000001,-0.1323850300000001
34.59637315527317,55.88620276810997,107.60516767953727,22.114455486455718,19.423310516846644,30.620883477318074,2010-11-24,-0.003258831,0.006019281129999995,0.019153006570999984,0.006819509289174593,1,-0.003258831,-0.1263039340000001,-0.1356438610000001
34.87161916649535,55.81126962140627,107.40068190770563,22.261382440204176,19.602469433745178,30.636067126001038,2010-11-25,0.000711417000000001,0.015320673129999997,0.018190708469666653,0.007605078718507925,1,0.000711417000000001,-0.1255925170000001,-0.1349324440000001
35.139053806622265,55.73709036705861,107.17693693344322,22.368682321591763,19.75134166394993,30.630582530763828,2010-11-26,-0.007846007000000002,0.027051761129999997,0.015741932474999984,0.008393229297365069,1,-0.007846007000000002,-0.1334385240000001,-0.14277845100000008
35.92231887405927,55.531629919404004,106.48760340871564,22.634971367402873,20.143122827126078,30.584118210061924,2010-11-29,-0.01016175,0.04478048913,0.0060906780928888845,0.009156296577746019,1,-0.01016175,-0.1436002740000001,-0.15294020100000008
36.197272682197706,55.49555033689996,106.29368644260832,22.674734644829954,20.314770917175046,30.67901004473764,2010-11-30,-0.009651646,0.036022552129999996,0.005404192856888885,0.009804748513142844,1,-0.009651646,-0.1532519200000001,-0.16259184700000007
36.45270835281213,55.444242474486195,106.08154776387366,22.677733122826933,20.464863837299298,30.77349826872143,2010-12-01,0.010988631999999995,0.024763432129999992,0.0053859546968888835,0.009993616906534377,1,0.010988631999999995,-0.1422632880000001,-0.15160321500000007
36.68327742051764,55.39043432903998,105.83951145602762,22.68088631437467,20.594214749264385,30.846316409068237,2010-12-02,0.004862875000000001,0.02401955012999999,0.005521110884222217,0.010156443748052899,1,0.004862875000000001,-0.1374004130000001,-0.14674034000000008
36.902003984091785,55.31379708728196,105.57455295133936,22.949422602914964,20.515357927549392,30.72899245877579,2010-12-03,0.0011955919999999994,0.023026322129999992,0.0041418667388888825,0.010318402105761893,1,0.0011955919999999994,-0.13620482100000011,-0.14554474800000008
37.445886308190715,55.03219818328057,104.71904383112009,23.646486923078317,20.27476779577312,30.36098938752208,2010-12-06,0.0038503790000000014,0.03131302412999999,0.004147404317555551,0.010495772251502633,1,0.0038503790000000014,-0.1323544420000001,-0.14169436900000007
37.59955430624183,54.927020838699256,104.41270229278332,23.8382995508216,20.19107696156313,30.215663098511573,2010-12-07,0.003424938000000001,0.021272525129999994,0.004178198077555548,0.010608464133814803,1,0.003424938000000001,-0.1289295040000001,-0.13826943100000008
37.76094519696153,54.82961750802036,104.10600712309584,24.075253240925306,20.139435294304548,30.13600577801678,2010-12-08,0.0039392640000000005,0.014434038129999995,0.0037239950227777683,0.010694031068444434,1,0.0039392640000000005,-0.12499024000000011,-0.13433016700000008
37.89964068214988,54.74335110400415,103.83677418227957,24.293055297220025,20.11060486982939,30.08018673713403,2010-12-09,-0.0005435289999999997,0.017134916129999993,0.0037447990094444357,0.010766664203899459,1,-0.0005435289999999997,-0.1255337690000001,-0.13487369600000007
37.99126179921888,54.66787297891307,103.57472385338328,24.350317141552143,20.18171017397329,30.19841533082676,2010-12-10,0.000314306,0.019736705129999997,0.0032455062547777696,0.010796828606523798,1,0.000314306,-0.12521946300000011,-0.13455939000000008
38.18952690661706,54.39289927902377,102.70297669973385,24.47343453220231,20.347410240093755,30.48697020988871,2010-12-13,-0.004019632,0.009065688129999997,0.00258546401627777,0.010812586061079352,1,-0.004019632,-0.1292390950000001,-0.13857902200000008
38.094673332613134,54.235020090707685,102.32779700691415,24.4195841939902,20.452764832312106,30.60567409965559,2010-12-14,0.0006389079999999991,-0.016442688870000007,0.0025218258776111033,0.010785743611761892,1,0.0006389079999999991,-0.12860018700000012,-0.13794011400000009
38.01288000660088,54.16037075772812,102.03147587798996,24.341063066824823,20.61205845748164,30.774656795458103,2010-12-15,0.009431511000000002,-0.01996324987000001,0.0026770853916111034,0.010722473126642844,1,0.009431511000000002,-0.11916867600000011,-0.12850860300000008
37.948174664128096,54.11675093657664,101.76962026341288,24.228848307698282,20.783406718717423,30.950020428764702,2010-12-16,0.0010941979999999996,-0.014733890870000007,0.0030440743996111037,0.010071960924671945,1,0.0010941979999999996,-0.11807447800000011,-0.1274144050000001
38.118773502634546,54.21539502145001,101.62268403374406,24.21050921574643,21.000313698573727,31.15068552474139,2010-12-17,0.0021785700000000008,-0.018066508870000008,0.0030176779796111035,0.009407409766605809,1,0.0021785700000000008,-0.1158959080000001,-0.1252358350000001
38.54751416340372,54.42111813926016,101.10309525942472,24.0953257787275,21.539961910101304,31.6345698236303,2010-12-20,-0.00463315,-0.022849029870000002,0.0024454268229444384,0.008763763743904751,1,-0.00463315,-0.1205290580000001,-0.1298689850000001
38.670125017498435,54.46865716642253,100.91246966139984,24.02806776799129,21.67453897318298,31.74947188822847,2010-12-21,-0.0005288940000000002,-0.024563202870000002,0.0021544238416111054,0.008057632238029092,1,-0.0005288940000000002,-0.12105795200000011,-0.1303978790000001
38.81099730966656,54.484719302205754,100.72580841866258,23.988806228435422,21.767664342271967,31.840272954844227,2010-12-22,0.001122995,-0.03611374487,0.0026583501096111043,0.007292406301772477,1,0.001122995,-0.1199349570000001,-0.12927488400000012
38.96219051765297,54.50207491557194,100.52990167248669,24.015643893324786,21.866226687996512,31.951804931912665,2010-12-23,0.000177369,-0.03724492,0.0026271812729444376,0.006486387344182531,1,0.000177369,-0.11975758800000011,-0.1290975150000001
39.0969823048585,54.50623400675684,100.32405353460271,24.03570326660403,21.95489598364417,32.05604582858245,2010-12-24,0.00018435212999999995,-0.03712386200000001,0.002157884751611106,0.005703508662211632,1,0.00018435212999999995,-0.11957323587000011,-0.1289131628700001
39.41069867293453,54.44908978422933,99.63756683267911,24.058492919762877,22.16875462988245,32.29852226574407,2010-12-27,0.001455385,-0.03764687400000001,0.0022197552449444396,0.004916564600399463,1,0.001455385,-0.11811785087000011,-0.1274577778700001
39.48999379250404,54.424541919582396,99.3797079693606,24.093975442956186,22.199318818146008,32.34729646939765,2010-12-28,0.001569338,-0.04339378700000001,0.0022197552449444396,0.00415309680430158,1,0.001569338,-0.1165485128700001,-0.1258884398700001
39.593396672904134,54.41273224251998,99.1341738775352,24.143828821353324,22.23689465583539,32.3981759418302,2010-12-29,0.008077082000000001,-0.054159239000000005,0.0022197552449444396,0.003509183602870364,1,0.008077082000000001,-0.10847143087000011,-0.11781135787000009
39.706434589191076,54.44803410372193,98.90682463228588,24.128186955328026,22.334321275237826,32.49064978254569,2010-12-30,0.002230695,-0.041839448,0.0022197552449444396,0.0033248539434444385,1,0.002230695,-0.1062407358700001,-0.11558066287000009
39.80481831008978,54.47013063151931,98.66924194224006,24.107873969289432,22.42675509383004,32.575504121639064,2010-12-31,-0.006396245000000003,-0.032802666,0.0022197552449444396,0.00317321405716137,1,-0.006396245000000003,-0.11263698087000011,-0.1219769078700001
40.020606218972546,54.45676912150933,97.8760210303052,24.021244787983214,22.645698611349033,32.744241506829226,2011-01-03,0.0004517099999999991,-0.037107315,0.0022197552449444396,0.0030224426546878254,1,0.0004517099999999991,-0.11218527087000012,-0.1215251978700001
40.068697480139754,54.429099829018924,97.5824215050732,23.98453079185606,22.70446108933977,32.813738208414435,2011-01-04,0.0028571510000000013,-0.053101472000000004,0.00268905176627777,0.0028652352432936455,1,0.0028571510000000013,-0.10932811987000011,-0.1186680468700001
40.07779040078128,54.40722246334471,97.28402622007191,23.914799761890865,22.776412122265853,32.90736166973009,2011-01-05,0.01171164,-0.04400546200000001,0.0026644697996111035,0.002773706124534386,1,0.01171164,-0.09761647987000012,-0.1069564068700001
40.195696894058756,54.447137524567815,97.03832573587331,23.9595257621627,22.893729858074693,33.0366447242141,2011-01-06,-0.006101235,-0.03826255300000001,0.0026053211462777697,0.00270426076494973,1,-0.006101235,-0.10371771487000012,-0.1130576418700001
