ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,RF_erf,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret
40.078159174620964,-3.235522278261016,-2.4033326003624644,-5.898003616414088,2014-06-03,-0.00095057,0.006679475000000002,1.0,1.0,1,-0.00095057,0.005428626000000008,0.016578180999999984
39.971565933987456,-1.078959780231851,-4.4641813138614905,-6.065590884887925,2014-06-04,0.0005811560000000001,0.005737680000000003,1.0,1.0,1,0.0005811560000000001,0.006009782000000008,0.017159336999999983
39.88385069792417,-0.5202390174220781,-4.389768971835999,-6.216385020499246,2014-06-05,0.0014842399999999995,0.005316209000000002,1.0,1.0,1,0.0014842399999999995,0.007494022000000007,0.01864357699999998
39.820663486066316,-0.9031157225238672,-4.172798009069538,-6.336910502544953,2014-06-06,0.0001029169999999998,0.0035289050000000023,1.0,1.0,1,0.0001029169999999998,0.007596939000000007,0.01874649399999998
39.656036688323404,-1.690112206701606,-3.9524884742456066,-6.653815831233557,2014-06-09,0.001587866,0.004077185000000002,1.0,1.0,1,0.001587866,0.009184805000000008,0.020334359999999982
39.59492054927625,-1.7380622735326898,-4.181702610413422,-6.761577396285232,2014-06-10,-0.001334034,0.0038943490000000022,1.0,1.0,1,-0.001334034,0.007850771000000008,0.01900032599999998
39.531307862181905,-1.7214974166955166,-4.2468846619606415,-6.854074336082121,2014-06-11,-0.00035838400000000017,0.003365172000000002,1.0,1.0,1,-0.00035838400000000017,0.007492387000000008,0.01864194199999998
39.45364188115306,-0.7225102727853612,-4.798172107700303,-6.933878444002005,2014-06-12,0.0006141780000000003,0.004147920000000002,1.0,1.0,1,0.0006141780000000003,0.008106565000000008,0.01925611999999998
39.306541619498795,-0.3427352915953161,-4.991553031928673,-7.012739205680545,2014-06-13,-0.00035831700000000003,0.0013407840000000018,1.0,1.0,1,-0.00035831700000000003,0.007748248000000008,0.01889780299999998
38.84752616200771,-1.4305597871888995,-3.9619599656945153,-7.18967298924494,2014-06-16,0.001022628,0.0009365080000000018,1.0,1.0,1,0.001022628,0.008770876000000007,0.01992043099999998
38.67013801006794,-3.1137997151476937,-4.004742761470428,-7.2545534800803315,2014-06-17,-0.0008690770000000001,-0.00023920299999999806,1.0,1.0,1,-0.0008690770000000001,0.007901799000000008,0.019051353999999982
38.49728468722486,-3.0692543698080783,-3.901108957258529,-7.315862318468504,2014-06-18,0.0011215379999999998,-0.0004085079999999981,1.0,1.0,1,0.0011215379999999998,0.009023337000000008,0.02017289199999998
38.300560825543954,-3.32565997245816,-3.7169417380102487,-7.359515594669973,2014-06-19,0.00017650500000000006,-0.0005878119999999981,1.0,1.0,1,0.00017650500000000006,0.009199842000000008,0.02034939699999998
38.106742737596335,-3.2776983823044112,-3.2720505163616918,-7.384740822463399,2014-06-20,0.00023066400000000005,-0.001502324999999998,1.0,1.0,1,0.00023066400000000005,0.009430506000000009,0.02058006099999998
37.5640465412645,-4.8940695923526265,-3.78997514551256,-7.429125277056003,2014-06-23,-0.00012178400000000005,-0.0015471279999999979,1.0,1.0,1,-0.00012178400000000005,0.009308722000000009,0.02045827699999998
37.423704778340614,-6.803250690677725,-3.0593815580789148,-7.403372011768682,2014-06-24,-4.804500000000009e-05,-0.000320590999999998,1.0,1.0,1,-4.804500000000009e-05,0.009260677000000009,0.02041023199999998
37.16824020731239,-1.2369890591473407,-4.9305506872658045,-7.450807497764941,2014-06-25,-0.000944724,0.0009287840000000022,1.0,1.0,1,-0.000944724,0.00831595300000001,0.01946550799999998
36.924462059279854,-0.3462908157132301,-5.244738222225118,-7.510720011960218,2014-06-26,-2.0979000000000048e-05,-0.0006525059999999978,1.0,1.0,1,-2.0979000000000048e-05,0.008294974000000009,0.019444528999999978
36.726595696789154,-0.9754099683559794,-5.968544637238871,-7.623362639973352,2014-06-27,0.001237345,-0.0010724409999999978,1.0,1.0,1,0.001237345,0.009532319000000008,0.02068187399999998
36.12280167901852,0.36781950042923217,-5.156973111648705,-7.907174368140616,2014-06-30,0.001504281,-0.0003975769999999976,1.0,1.0,1,0.001504281,0.011036600000000008,0.022186154999999978
