ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,RF,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret,
1.915463193,11.54275883,1.080118002,-10.49686198,30/10/2015,0.000595476,-0.006113709,1,-0.047619048,0,0,0.012050065,0.033869729,
1.950290889,11.6263742,1.749865857,-9.976658164,02/11/2015,-0.000552351,-0.007615775,1,-0.047619048,0,0,0.012050065,0.033317378,
1.928520407,11.57420122,1.631014395,-9.784174831,03/11/2015,0.002274865,-0.012537777,1,-0.047619048,0,0,0.012050065,0.035592243,
1.918787369,9.90038238,2.572268452,-9.548122238,04/11/2015,-0.002962453,-0.011575053,1,-0.047619048,0,0,0.012050065,0.03262979,
1.900117167,9.227885079,1.599823554,-9.359301845,05/11/2015,0.000671014,-0.003429393,1,0.047619048,1,0.000671014,0.012721079,0.033300804,
1.91760089,6.242278868,2.565624925,-9.127596847,06/11/2015,-0.006021355,-0.003627191,1,0.142857143,1,-0.006021355,0.006699724,0.027279449,
1.949486586,6.226129875,2.46499839,-8.492965763,09/11/2015,0.000209342,0.001157253,1,0.238095238,1,0.000209342,0.006909066,0.027488791,
1.938896499,6.228699414,0.848266593,-8.365151439,10/11/2015,-0.000581979,-0.002609419,1,0.333333333,1,-0.000581979,0.006327087,0.026906812,
1.877421805,6.180075708,0.721462894,-8.237041498,11/11/2015,0.001586614,-0.004221558,1,0.428571429,1,0.001586614,0.007913701,0.028493426,
1.802883275,6.32418939,1.357683168,-8.094338931,12/11/2015,0.001812533,-0.002986812,1,0.523809524,1,0.001812533,0.009726234,0.030305959,
1.73569236,6.497546117,1.138483068,-7.959981734,13/11/2015,-0.001586702,-0.006826666,1,0.619047619,1,-0.001586702,0.008139532,0.028719257,
1.557309426,7.229009591,1.028855979,-7.580989188,16/11/2015,0.003652338,-0.010329214,1,0.714285714,1,0.003652338,0.01179187,0.032371595,
1.49214076,8.613640458,0.638702776,-7.469705655,17/11/2015,0.001646476,-0.012125068,1,0.80952381,1,0.001646476,0.013438346,0.034018071,
1.421617861,9.855909493,-0.3459255,-7.401675061,18/11/2015,-0.000629026,-0.00966179,1,0.904761905,1,-0.000629026,0.01280932,0.033389045,
1.330916738,9.570641601,-0.698120425,-7.364761136,19/11/2015,-0.001079091,-0.004405005,1,1,1,-0.001079091,0.011730229,0.032309954,
1.246659884,9.455589141,-0.815080666,-7.317955407,20/11/2015,-0.003453037,-0.0024952,1,1,1,-0.003453037,0.008277192,0.028856917,
1.046049028,11.38039849,0.297763778,-7.152916892,23/11/2015,-0.000155324,-0.004906602,1,1,1,-0.000155324,0.008121868,0.028701593,
1.000465339,12.75601778,-0.00923244,-7.095504784,24/11/2015,0.000445017,-0.001721766,1,1,1,0.000445017,0.008566885,0.02914661,
