ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,LSTM,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret,
66.00907979,10.53778243,3.57813137,17.60350214,21/08/2017,0.006436467,0.016887214,-1,-1,0,0,0,0.175271209,
66.06407237,9.939036371,3.556677146,17.59457821,22/08/2017,-0.005915653,0.017009386,-1,-1,0,0,0,0.169355556,
66.12739592,14.08128302,3.215738169,17.55180973,23/08/2017,0.00539006,0.019756433,-1,-1,0,0,0,0.174745616,
66.1840686,13.79016472,3.218564709,17.50162179,24/08/2017,-0.001215663,-0.009053348,-1,-1,0,0,0,0.173529953,
66.24446475,12.79278313,3.689724651,17.47702196,25/08/2017,0.015972081,-0.023025171,-1,-1,0,0,0,0.189502034,
66.33028981,13.02616347,4.020034214,17.40339353,28/08/2017,0.00743565,-0.02708676,-1,-1,0,0,0,0.196937684,
66.35436788,12.89644448,3.982903892,17.39181378,29/08/2017,-0.00139655,-0.013338252,-1,-1,0,0,0,0.195541134,
66.42453813,11.77361763,5.73111781,17.43722577,30/08/2017,-0.009356635,-0.013137738,-1,-1,0,0,0,0.186184499,
66.49221005,11.82864012,5.009149782,17.43322392,31/08/2017,0.003223091,-0.014456207,-1,-1,0,0,0,0.18940759,
66.64048941,10.33656226,5.437640941,17.47845628,01/09/2017,-0.00727861,-0.01838046,-1,-1,0,0,0,0.18212898,
66.97472761,10.13497668,5.232598825,17.61831628,04/09/2017,0.004318196,-0.018185348,-1,-1,0,0,0,0.186447176,
67.01876725,10.35309966,3.982551981,17.64612262,05/09/2017,0.0022274,-0.023955721,-1,-1,0,0,0,0.188674576,
67.04999071,10.09296415,3.602651843,17.64927035,06/09/2017,0.000871988,-0.034343402,-1,-1,0,0,0,0.189546564,
67.05328682,11.44060112,2.087633282,17.59692525,07/09/2017,0.012552388,-0.035491499,-1,-1,0,0,0,0.202098952,
67.08529952,11.16588958,2.535949435,17.58088226,08/09/2017,0.002361729,-0.01988213,-1,-1,0,0,0,0.204460681,
67.08591901,10.78868437,2.5990286,17.49254051,11/09/2017,-0.010113662,-0.018439774,-1,-1,0,0,0,0.194347019,
67.12728791,10.13388723,3.135743282,17.45686367,12/09/2017,0.001199087,-0.011052868,-1,-1,0,0,0,0.195546106,
67.15514049,10.00790906,2.986031498,17.40979034,13/09/2017,-0.008695999,-0.015036064,-1,-1,0,0,0,0.186850107,
67.14616702,9.292931145,3.69990023,17.34135583,14/09/2017,0.003336777,-0.020664857,-1,-1,0,0,0,0.190186884,
67.12137779,12.21008837,1.502080974,17.2128265,15/09/2017,0.004018708,-0.024617238,-1,-1,0,0,0,0.194205592,
66.98072505,12.72058658,0.871708179,16.81328051,18/09/2017,0.000736091,-0.024806268,-1,-1,0,0,0,0.194941683,
66.93977476,11.99313591,1.945564616,16.71938244,19/09/2017,0.003202248,-0.008822822,-1,-1,0,0,0,0.198143931,
66.92215879,11.86568415,3.071461746,16.67102453,20/09/2017,-0.011901161,-0.017965517,-1,-1,0,0,0,0.18624277,
66.89040562,10.03412724,4.430994929,16.68210833,21/09/2017,0.005512232,-0.023163903,-1,-1,0,0,0,0.191755002,
66.91153639,15.45727822,7.577123968,16.80948732,22/09/2017,0.001531384,-0.008689158,-1,-1,0,0,0,0.193286386,
66.89035499,14.4375991,6.8792835,17.11755445,25/09/2017,-0.0128377,0.002593541,-1,-1,0,0,0,0.180448686,
66.85529759,15.15953401,6.079824382,17.16612069,26/09/2017,-0.006536173,-0.003374414,-1,-1,0,0,0,0.173912513,
66.83566312,15.89872214,7.854031741,17.27557241,27/09/2017,-0.005458139,-0.013287995,-1,-1,0,0,0,0.168454374,
66.86221772,17.15103265,8.962716932,17.42019171,28/09/2017,0.004391873,-0.012547073,-1,-1,0,0,0,0.172846247,
66.89647659,16.13171546,8.157559615,17.54933115,29/09/2017,0.003423605,-0.003193008,-1,-1,0,0,0,0.176269852,
67.08242232,13.48004072,10.14739049,18.02229904,02/10/2017,-0.008597079,-0.007287605,-1,-1,0,0,0,0.167672773,
67.25389626,13.33129048,9.772839507,18.23154826,03/10/2017,0.000393943,-0.005214481,-1,-1,0,0,0,0.168066716,
67.42490678,10.85340396,10.63455506,18.46313319,04/10/2017,0.002422512,-0.00499311,-1,-1,0,0,0,0.170489228,
67.60152767,10.10267306,10.8084545,18.69871151,05/10/2017,-0.004898385,-0.006851245,-1,-1,0,0,0,0.165590843,
67.72973394,13.1775341,9.433144761,18.883467,06/10/2017,0.002164707,-0.009739941,-1,-1,0,0,0,0.16775555,
68.00697714,13.66733434,9.614452329,19.38342947,09/10/2017,0.001213632,-0.015198106,-1,-1,0,0,0,0.168969182,
68.09339952,14.99188922,9.926989958,19.56210964,10/10/2017,0.005495707,-0.014669281,-1,-1,0,0,0,0.174464889,
68.19271059,14.90668239,9.906811523,19.74832948,11/10/2017,0.002641443,-0.012259126,-1,-1,0,0,0,0.177106332,
68.29819881,14.93152406,10.10395446,19.9803334,12/10/2017,-0.001309093,-0.011592117,-1,-1,0,0,0,0.175797239,
68.41974422,15.42078142,9.498661188,20.17512665,13/10/2017,-0.000646419,-0.004323533,-1,-1,0,0,0,0.17515082,
68.66756313,14.73849718,9.221809865,20.67398629,16/10/2017,-0.001610085,-0.000415143,-1,-1,0,0,0,0.173540735,
68.74170474,13.36909429,9.670184158,20.81525488,17/10/2017,-0.00321629,-0.0035367,-1,-1,0,0,0,0.170324445,
68.80689261,14.56344785,8.709205623,20.91988777,18/10/2017,0.003013218,-0.007635015,-1,-1,0,0,0,0.173337663,
68.8581251,14.01158005,8.475911992,21.00569861,19/10/2017,0.004082285,-0.003086898,-1,-1,0,0,0,0.177419948,
68.88790273,13.8557068,7.808247469,21.05973847,20/10/2017,-0.003630463,0.000592208,-1,-1,0,0,0,0.173789485,
68.8867696,13.07586933,7.734331461,21.18797955,23/10/2017,-0.003667002,0.002332783,-1,-1,0,0,0,0.170122483,
68.91321896,12.01076626,8.210537971,21.24678261,24/10/2017,0.001637045,-0.003151713,-1,-1,0,0,0,0.171759528,
68.96964957,7.773465358,12.49213683,21.45603339,25/10/2017,0.004746526,0.005596878,-1,-1,0,0,0,0.176506054,
