ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,LSTM,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret,
3.915701703,8.35024353,-1.743748675,-10.45378369,12/08/2015,-0.007121776,0.027995039,1,-0.80952381,0,0,0,-0.053553469,
3.872206733,8.496535596,-2.129011521,-10.43687518,13/08/2015,-0.000433491,0.031280547,1,-0.714285714,0,0,0,-0.05398696,
3.853225307,7.421771517,-2.472720675,-10.42185081,14/08/2015,-0.005936514,0.029062198,1,-0.619047619,0,0,0,-0.059923474,
3.79996327,7.869622372,-2.582285448,-10.36732168,17/08/2015,-0.004704256,0.039374862,1,-0.523809524,0,0,0,-0.06462773,
3.791488373,7.525409509,-2.256233227,-10.35555401,18/08/2015,-0.007160768,0.04350707,1,-0.428571429,0,0,0,-0.071788498,
3.767392803,8.978562867,-3.436261827,-10.38303562,19/08/2015,0.01340686,0.011169671,1,-0.333333333,0,0,0,-0.058381638,
3.733734849,9.120047781,-3.474074353,-10.41043541,20/08/2015,0.016433002,-0.024614824,1,-0.238095238,0,0,0,-0.041948636,
3.720885855,10.50358982,-2.59899926,-10.43700979,21/08/2015,0.021856996,-0.059457378,1,-0.142857143,0,0,0,-0.02009164,
3.671077528,9.961479281,-2.406866907,-10.50198752,24/08/2015,0.027426652,-0.045627088,1,-0.047619048,0,0,0,0.007335012,
3.674864383,9.627377871,-1.534785992,-10.48941365,25/08/2015,-0.008193836,-0.021078114,1,0.047619048,1,-0.008193836,-0.008193836,-0.000858824,
3.68744081,8.100913295,-0.506364431,-10.43974279,26/08/2015,-0.029164826,-0.009489008,1,0.142857143,1,-0.029164826,-0.037358662,-0.03002365,
3.737248401,6.815416604,0.716730386,-10.34543345,27/08/2015,-0.009137532,0.004650173,1,0.238095238,1,-0.009137532,-0.046496194,-0.039161182,
3.804431516,7.342032637,0.237753654,-10.28586807,28/08/2015,-0.008117753,0.002931064,1,0.333333333,1,-0.008117753,-0.054613947,-0.047278935,
4.002301223,8.448360311,0.542257607,-10.1336097,31/08/2015,0.003232408,-0.021071042,1,0.428571429,1,0.003232408,-0.051381539,-0.044046527,
4.041980931,10.91109907,1.040095176,-10.12797109,01/09/2015,0.013772056,-0.007831696,1,0.523809524,1,0.013772056,-0.037609483,-0.030274471,
4.078834292,11.44160447,0.384743209,-10.19052855,02/09/2015,-0.01158284,0.004228082,1,0.619047619,1,-0.01158284,-0.049192323,-0.041857311,
4.144095587,11.49577042,0.701185361,-10.2324899,03/09/2015,-0.013499286,-0.003613469,1,0.714285714,1,-0.013499286,-0.062691609,-0.055356597,
4.215034815,11.22771348,0.531180282,-10.28046928,04/09/2015,0.004008641,0.005096132,1,0.80952381,1,0.004008641,-0.058682968,-0.051347956,
4.400539133,10.38959422,0.171658939,-10.40789181,07/09/2015,0.002294511,-0.003591792,1,0.904761905,1,0.002294511,-0.056388457,-0.049053445,
4.401030608,10.26334616,0.789109828,-10.44772536,08/09/2015,0.004607415,0.000434185,1,1,1,0.004607415,-0.051781042,-0.04444603,
4.398477431,10.1399218,0.405845445,-10.49273606,09/09/2015,0.001816073,0.002793708,1,1,1,0.001816073,-0.049964969,-0.042629957,
4.403879721,10.07616751,-0.105790852,-10.53390297,10/09/2015,0.008159401,-0.005784585,1,1,1,0.008159401,-0.041805568,-0.034470556,
