,DDMMYY,CCY,logret,Linear,SVM_erf,RF_erf,LSTM1_erf,LSTM2_erf,Date,EURUSD_vol,EDI_EURUSD_spread,EDI_G10_normalised,EDI_Global_normalised,EDI_EURUSD_spread_spotvma,EDI_EURUSD_spread_madiff,EDI_G10_normalised_spotvma,EDI_G10_normalised_madiff,EDI_Global_normalised_spotvma,EDI_Global_normalised_madiff,ESI_EURUSD_spread,ESI_G10_normalised,ESI_Global_normalised,ESI_EURUSD_spread_spotvma,ESI_EURUSD_spread_madiff,ESI_G10_normalised_spotvma,ESI_G10_normalised_madiff,ESI_Global_normalised_spotvma,ESI_Global_normalised_madiff
133,2000-09-01,0.8935520833333336,0.012238582000000001,-0.0007372420000000001,-0.004597795,0.0033339609999999994,0.010009701000000001,0.006187842,2000-09-01,0.09972973179035242,-56.739660480999945,-13.717228299999991,-12.113609940999998,-0.824848139243846,-0.15445113890708484,-12.404629496557172,-4.754594287734159,-10.95446106003688,-4.198756440697924,20.697820876999998,39.59744289400002,32.39182418900001,18.12231080023316,22.922780459081707,1.8252641452876706,16.70351284487527,1.4931175084540085,13.663944230071177
134,2000-09-04,0.9000083333333334,-0.002112872,-0.000876024,0.0006248109999999999,0.0002715629999999999,-0.0010273020000000001,0.0029151310000000005,2000-09-04,0.09970492222401206,-56.739660480999945,-13.717228299999991,-12.113609940999998,-0.7790456153273695,-0.22891258274340487,-11.78944080469503,-5.7130007038909065,-10.411191261352652,-5.045119950967506,20.697820876999998,39.59744289400002,32.39182418900001,17.43737256065763,23.3967815717857,1.9429948924715044,15.95214279728948,1.5894245774422409,13.049302356726198
135,2000-09-05,0.8919916666666667,-0.009619768,0.00243112,0.0016144170000000004,0.004860987999999998,-0.005149707,0.011050541,2000-09-05,0.10034619070517706,-56.739660480999945,-13.731672124999992,-12.126365204999999,-0.7646657576120095,-0.25118665811029217,-11.610073354943092,-5.999040144515296,-10.252792839311926,-5.297719830285858,20.697820876999998,39.599277229000016,32.39332472600001,17.219544059971497,23.528752768534083,1.9796161010218452,15.71928188286271,1.6193817573561953,12.858815566423687
136,2000-09-06,0.8798937499999998,-0.020496375,0.011848278,0.002761419,-0.005861466,-0.026272246,-0.020433581,2000-09-06,0.10805045990992149,-57.46285641899995,-13.041596644999991,-11.51696329,-1.459754830656415,-0.3015318294753868,-10.745096074523481,-6.241436812199077,-9.488936092534983,-5.511779013431601,20.468908268,39.547725753000016,32.35115416600001,16.78222046084565,23.63948030445514,1.9618144495650949,15.49245540327665,1.6048195049538476,12.673265113885105
137,2000-09-07,0.8703874999999998,0.0002294250000000008,-0.0030088359999999995,7.756700000000004e-05,0.0007263689999999999,0.00033429200000000046,0.00022652500000000067,2000-09-07,0.1080392541065353,-55.033404307999945,-11.461891976999992,-10.121934662,0.9494384005079386,-0.25102778862482467,-9.026160504140297,-6.406349661306163,-7.9709534094268335,-5.657412656464463,21.790738981,40.394024561000016,33.04345044000001,17.874417362270805,23.792721193820363,2.823326720722128,15.30772262879098,2.3095608205734113,12.522148498343263
138,2000-09-08,0.8701958333333334,-0.005751439,-0.0023110770000000004,0.00037470400000000006,-0.0026578380000000005,-0.008154318,-0.005751675999999999,2000-09-08,0.10491538840313809,-55.033404307999945,-12.377681353999991,-10.930663295999999,0.9298819091736554,-0.20300367378151662,-9.788418387657787,-6.598556136138471,-8.644099213848488,-5.827149152404192,21.790738981,39.86814372200001,32.61326509300001,17.650083071104724,23.93284784709357,2.321577703885608,15.107517570670634,1.8991159842043013,12.358375118732134
139,2000-09-11,0.8632104166666666,-0.008166147,0.00010017999999999963,0.0014541530000000001,-0.003773704,-0.011578487000000002,-0.008166137999999998,2000-09-11,0.10509944669871718,-55.033404307999945,-11.672711888999991,-10.308108583,0.8751383142346807,-0.07269997534321249,-8.66037121654303,-7.081773513653088,-7.64792687214657,-6.253875798872452,21.790738981,40.46775478500001,33.103763840000006,17.007076885537764,24.280671347427273,2.9723590263633106,14.5697217750607,2.4314734456084794,11.918443002048068
140,2000-09-12,0.8613124999999999,0.005220125999999999,-0.002713088,-0.0011712860000000001,0.0024123099999999995,0.007305782000000001,0.0052201209999999994,2000-09-12,0.10602492370797316,-55.033404307999945,-12.035880392999992,-10.628820719999998,0.8581092356724564,-0.033509578936104845,-8.89159730432184,-7.219987993420631,-7.852121376665666,-6.375932256658234,21.790738981,40.34783858100001,33.005669006000005,16.802176836287543,24.374331855592814,2.861473070674469,14.412487946179219,2.340765609244394,11.789821298945252
141,2000-09-13,0.8634770833333333,-0.005045680999999999,-0.0011669200937,0.000133477,-0.002206524,-0.005331737,-0.005045599,2000-09-13,0.10485535672381918,-55.033404307999945,-12.475516607999992,-11.017061077999998,0.8416475883599581,0.0037197457018010027,-9.19399329954349,-7.3673962667276625,-8.119165640586026,-6.506107703673147,21.790738981,40.075296940000015,32.782722263000004,16.601729869107974,24.457739727631107,2.602222431332607,14.248849922138927,2.128691280192566,11.65596078372262
142,2000-09-14,0.8627791666666669,0.005566287,-0.009851539999999999,0.00010513400000000001,0.0026170659999999995,0.008375092,0.005146839000000002,2000-09-14,0.10492768743884676,-55.525394897999945,-12.019011408999992,-10.613923811999998,0.34336071461612505,0.019180408099899182,-8.612633820350238,-7.487260340127227,-7.6057702365988185,-6.6119590170903155,22.222063326,39.908884768000014,32.646592417,16.828476209367047,24.548835307671894,2.4511659295436132,14.083458893510965,2.0051228051932473,11.520666261363925
