,index,spot_v_HF,spot_v_MF,spot_v_LF,HF_ema_diff,MF_ema_diff,LF_ema_diff,LDN,NY,Asia,target,Date,CCY,logret
82300,99800,1.6834806352523048,0.5937557410656616,-0.4625423403964559,2.308803476703205,-0.36357683786929496,-1.2648698590060035,1.0,0.0,0,-8.106318449169303,2015-12-10 08:00:00,1.0997,0.00040928625596912965
82301,99801,1.3629501135183948,0.5311071496145161,-0.4919943762282795,2.2497831374482717,-0.36019484084834447,-1.264378538461785,1.0,0.0,0,-8.115406435831895,2015-12-10 09:00:00,1.0981,-0.00145600171322105
82302,99802,1.116252714180612,0.4800458966534768,-0.5158805915930806,2.1737765401525526,-0.35705181332586566,-1.2639135983142211,1.0,0.0,0,-6.640783373039229,2015-12-10 10:00:00,1.0968,-0.0011845643555629948
82303,99803,0.621809967161051,0.37602379701663685,-0.5656309976949151,2.058243465456552,-0.35437519759236646,-1.2635029360966878,1.0,0.0,0,-8.041923172721976,2015-12-10 11:00:00,1.0941,-0.002464741765360337
82304,99804,0.8608078407646658,0.4165362708415155,-0.5450993308263945,1.9799182322831814,-0.35153802805266826,-1.26307058142321,1.0,0.0,0,-6.829028523098907,2015-12-10 12:00:00,1.0952,0.001004887491494785
82305,99805,0.8579432762103338,0.4113926365838803,-0.5467645800829254,1.9104281318820355,-0.3487384238446588,-1.2626405332173227,0.5,0.5,0,-8.354558030703432,2015-12-10 13:00:00,1.0951,-9.131169252564464e-05
82306,99806,1.2427640908616284,0.4859626443685574,-0.509607212672847,1.8868091870066055,-0.3456317916135297,-1.2621708661847468,0.5,0.5,0,-8.535920836988577,2015-12-10 14:00:00,1.0971,0.001824651541731753
82307,99807,1.025396071105988,0.4426636974278234,-0.5297839212450991,1.8442826766371758,-0.34272904323197445,-1.261723541038678,0.5,0.5,0,-7.5627904183332815,2015-12-10 15:00:00,1.096,-0.0010031463154844683
82308,99808,0.5784545767601478,0.3501652522814765,-0.5739814636827996,1.762426984544923,-0.3402415851539692,-1.2613244633692555,0.5,0.5,0,-10.38268044999577,2015-12-10 16:00:00,1.0936,-0.0021921820982210016
82309,99809,0.8076184302238599,0.3907821566727409,-0.5534454448613694,1.7123734023077288,-0.33759197731400997,-1.2609036758005445,0.5,0.5,0,-9.305040909161688,2015-12-10 17:00:00,1.0947,0.0010053467007719306
82310,99810,0.8153779754109554,0.3895356458288478,-0.5532582916067146,1.6684869444714707,-0.33496199043671626,-1.2604831773462501,0.0,1.0,0,-9.589900999860422,2015-12-10 18:00:00,1.0947,0.0
82311,99811,0.6906119879682086,0.3617292993183367,-0.566013425451983,1.616943055793267,-0.3324662574655298,-1.2600769394268851,0.0,1.0,0,-9.736223229025926,2015-12-10 19:00:00,1.094,-0.0006396491285850653
82312,99812,0.6646888500183628,0.35299035445057375,-0.5695161187858064,1.5683253368576875,-0.330021637817255,-1.2596749544992862,0.0,1.0,0,-9.260431795201079,2015-12-10 20:00:00,1.0938,-0.000182832069254138
82313,99813,0.8244087319026632,0.3822329324669978,-0.5545297414691588,1.5405176381438628,-0.3274637185345776,-1.259257256613853,0.0,1.0,0,-8.306642593823865,2015-12-10 21:00:00,1.0946,0.0007311277971453477
82314,99814,0.7309058721565364,0.36206430513998544,-0.5635836522173705,1.5061075873163472,-0.325006651031426,-1.2588498205060452,0.0,1.0,0,-7.638784898220937,2015-12-10 22:00:00,1.0941,-0.0004568922270734993
82315,99815,0.7257001307425334,0.3590382707149454,-0.5643130789770587,1.474552070092677,-0.32257578341206167,-1.2584436458048838,0.0,0.0,1,-7.483829675706433,2015-12-10 23:00:00,1.09405,-4.570070608396482e-05
82316,99816,0.8497497029888061,0.38259004241389394,-0.5521016733043475,1.4582257263687504,-0.3200561044486847,-1.2580247613718505,0.0,0.0,1,-7.070293622593744,2015-12-11 00:00:00,1.0947,0.0005939463338513197
82317,99817,0.6396401921137098,0.3396675260542714,-0.5722487539273398,1.4224341786900379,-0.3177353830332226,-1.2576281133841782,0.0,0.0,1,-7.108328799568562,2015-12-11 01:00:00,1.0936,-0.0010053467007719306
82318,99818,0.5810928054642566,0.3253461939337573,-0.5785167374215965,1.3843814494476312,-0.3154889010377473,-1.2572386918637228,0.0,0.0,1,-6.671542748555893,2015-12-11 02:00:00,1.09325,-0.00032009511670968993
82319,99819,0.5526563917516747,0.31676666386740265,-0.5820073292617963,1.3472743178166415,-0.3132914234639804,-1.2568534895098369,0.0,0.0,1,-6.926149931852279,2015-12-11 03:00:00,1.09305,-0.0001829575086290808
82320,99820,0.6547586533616092,0.33478189684958753,-0.5725551866458147,1.3238313384694933,-0.3110277267497378,-1.2564585311667642,0.0,0.0,1,-6.445395282571018,2015-12-11 04:00:00,1.09355,0.0004573310241604289
82321,99821,0.6749527838598696,0.3375661169846177,-0.5705041248784362,1.3043730353922314,-0.308764001342115,-1.256061817360869,0.0,0.0,1,-6.115577397466451,2015-12-11 05:00:00,1.09365,9.144111198762515e-05
82322,99822,0.6837867501790712,0.3384480193746526,-0.5693790382822853,1.2873187403024389,-0.3065084605241439,-1.255664349447463,0.0,0.0,1,-6.072942494913931,2015-12-11 06:00:00,1.0937,4.571742063098905e-05
82323,99823,0.8495322171621787,0.37158940668020213,-0.5525409034818749,1.2878454359093738,-0.30412161481285493,-1.2552491708257238,1.0,0.0,0,-6.032551560215966,2015-12-11 07:00:00,1.0946,0.0008225563686378028
82324,99824,0.9488948152104868,0.39324824045840434,-0.5412601078823878,1.2973793827641367,-0.3016538193113183,-1.2548223020236093,1.0,0.0,0,-9.425437158877742,2015-12-11 08:00:00,1.0952,0.000547995264421286
82325,99825,1.1353462897323616,0.43381916690904365,-0.5207436812611023,1.3234862425030267,-0.2990237642625491,-1.254373791822324,1.0,0.0,0,-8.440646081729483,2015-12-11 09:00:00,1.0963,0.001003878706255304
82326,99826,0.7528786799187932,0.3604290486987294,-0.5556990758490485,1.3082674109496675,-0.2967249815661973,-1.2539635292852134,1.0,0.0,0,-10.06380409575085,2015-12-11 10:00:00,1.0944,-0.0017346058122083426
82327,99827,1.1013485052507974,0.4314779018706117,-0.5203815376524721,1.328587656098413,-0.2941312272668686,-1.2535156355104813,1.0,0.0,0,-9.977721824372049,2015-12-11 11:00:00,1.0963,0.0017346058122083426
82328,99828,1.2608771454585594,0.4681597016213019,-0.5017251108055312,1.3617047890438896,-0.2913927049950641,-1.2530481381609433,1.0,0.0,0,-8.799347616462446,2015-12-11 12:00:00,1.0973,0.0009117433162589976
82329,99829,0.9837733535122658,0.41745662240611603,-0.525599152639426,1.3631932460465301,-0.28888799823688427,-1.2526069534636408,0.5,0.5,0,-9.603510564967424,2015-12-11 13:00:00,1.096,-0.0011854284887926616
82330,99830,0.8362272064097457,0.3896872462831891,-0.5383645203330256,1.3495782154913298,-0.28651665246665114,-1.2521800613468284,0.5,0.5,0,-12.779843186017064,2015-12-11 14:00:00,1.0953,-0.0006388901782599099
82331,99831,1.82293333363854,0.5916029761276854,-0.4392747945398203,1.4343351783126803,-0.28328490687007346,-1.2516467637289237,0.5,0.5,0,-11.379111995544724,2015-12-11 15:00:00,1.10065,0.0048726160296393844
82332,99832,1.5965914966125425,0.5576188504315779,-0.45486954903222526,1.486539516917026,-0.28021745266938314,-1.2511309296260715,0.5,0.5,0,-11.605624913917941,2015-12-11 16:00:00,1.0998,-0.0007725692856257738
82333,99833,1.6195970633422545,0.5711923218558365,-0.44734268542919947,1.5346956142724681,-0.27710776397348563,-1.2506075936317538,0.5,0.5,0,-11.68472608508766,2015-12-11 17:00:00,1.1002,0.0003636363676433469
82334,99834,1.4200062092907406,0.5391893504349612,-0.4620060198398981,1.5574561557597486,-0.27415311862609865,-1.2501007030433657,0.0,1.0,0,-11.238237776626764,2015-12-11 18:00:00,1.0994,-0.0007274050147978438
82335,99835,1.3086210163121534,0.5224708214336599,-0.4692647509055396,1.5665565082004969,-0.2712865539956212,-1.2496022482963869,0.0,1.0,0,-9.098753081784382,2015-12-11 19:00:00,1.099,-0.0003639010229385814
