level_0,index,spot_v_HF,spot_v_MF,spot_v_LF,HF_ema_diff,MF_ema_diff,LF_ema_diff,LDN,NY,Asia,target,Date,CCY,logret,Predictions,erf_signal,scaled_signal,scaled_signal_erf,strat_returns,strat_returns_sum,strat_returns_erf,strat_returns_sum_erf
60044,77544,0.3515934309154573,-0.7253509953250759,-0.9870143646424963,-0.1670427134759869,-0.8153579163997309,-1.0156858813439333,0.0,0.0,1,-0.01189485436051084,2012-05-22 00:00:00,1.2811,0.00019516384066306516,1.0,0.4621171572600098,1.0,0.46211715726000985,0.00019516384066306516,0.002892321734899089,9.018855924716119e-05,0.0013365914980129068
60045,77545,0.35055542899258496,-0.7198618175716737,-0.9836410368022578,-0.140655610737126,-0.8153580426648763,-1.016184668604003,0.0,0.0,1,-0.011469997694513553,2012-05-22 01:00:00,1.28125,0.00011708002433036267,1.0,0.4621171572600098,1.0,0.46211715726000985,0.00011708002433036267,0.0030094017592294515,5.4104688015479986e-05,0.0013906961860283868
60046,77546,0.1935819586439507,-0.7498131977799727,-1.0031491798310586,-0.13194541968880516,-0.8155070407003439,-1.0167108548586719,0.0,0.0,1,-0.008992972307912947,2012-05-22 02:00:00,1.2802,-0.0008198481788153077,1.0,0.4621171572600098,1.0,0.46211715726000985,-0.0008198481788153077,0.0021895535804141437,-0.0003788659097789262,0.0010118302762494606
60047,77547,0.020769899210804424,-0.7855769782903065,-1.0264570292425839,-0.14039080940260384,-0.8158327207573458,-1.0172698518088685,0.0,0.0,1,-0.009107745601919556,2012-05-22 03:00:00,1.27895,-0.0009768869346517828,1.0,0.4621171572600098,1.0,0.46211715726000985,-0.0009768869346517828,0.001212666645762361,-0.0004514362132057269,0.0005603940630437337
60048,77548,0.08756197013201414,-0.7695679849306328,-1.0163827347466825,-0.14062418232122828,-0.8160787886632899,-1.017813785763039,0.0,0.0,1,-0.009270965209115037,2012-05-22 04:00:00,1.27945,0.0003908692982846629,1.0,0.4621171572600098,1.0,0.46211715726000985,0.0003908692982846629,0.0016035359440470238,0.00018062740898352325,0.000741021472027257
60049,77549,-0.013622893377955796,-0.7905124880370783,-1.0301492346524062,-0.1500484880392464,-0.816427901154326,-1.018376834862065,0.0,0.0,1,-0.008916881236443394,2012-05-22 05:00:00,1.2787,-0.000586361254413359,1.0,0.4621171572600098,1.0,0.46211715726000985,-0.000586361254413359,0.0010171746896336649,-0.00027096759601691485,0.0004700538760103422
60050,77550,-0.03031720640809462,-0.7936784502893871,-1.0324657807476707,-0.15937667893667043,-0.8167918138715465,-1.018942571045555,0.0,0.0,1,-0.009461254206047695,2012-05-22 06:00:00,1.27855,-0.00011731352051766453,1.0,0.4621171572600098,1.0,0.46211715726000985,-0.00011731352051766453,0.0008998611691160003,-5.421259060978697e-05,0.0004158412854005552
60051,77551,0.11713235796077193,-0.7599280576012322,-1.0109464960406032,-0.1526403363499031,-0.8169884313151518,-1.0194768402992964,1.0,0.0,0,-0.008758033398070228,2012-05-22 07:00:00,1.27965,0.0008599797262085486,1.0,0.4621171572600098,1.0,0.46211715726000985,0.0008599797262085486,0.0017598408953245488,0.0003974113863767361,0.0008132526717772913
60052,77552,-0.012984847830515834,-0.786811409639056,-1.0285313966394873,-0.15885083087891388,-0.8173176401439183,-1.02003570543132,1.0,0.0,0,-0.010839788803636743,2012-05-22 08:00:00,1.2787,-0.0007426662056908839,1.0,0.4621171572600098,1.0,0.46211715726000985,-0.0007426662056908839,0.0010171746896336649,-0.00034319879576694904,0.0004700538760103423
60053,77553,0.15933655171490377,-0.7471742973611268,-1.003200267383328,-0.14698641920496736,-0.8174507406952992,-1.0205576542623676,1.0,0.0,0,-0.010461827504663526,2012-05-22 09:00:00,1.28,0.0010161410965403297,1.0,0.4621171572600098,1.0,0.46211715726000985,0.0010161410965403297,0.0020333157861739948,0.0004695762349082864,0.0009396301109186287
60054,77554,-0.11744756927628588,-0.80658149917419,-1.0417660556367039,-0.16303329554389806,-0.8178771252614823,-1.0211342716218874,1.0,0.0,0,-0.00992095062899502,2012-05-22 10:00:00,1.27795,-0.0016028463722049526,1.0,0.4621171572600098,1.0,0.46211715726000985,-0.0016028463722049526,0.00043046941396904215,-0.0007407028090478724,0.00019892730187075626
60055,77555,-0.3183419680372537,-0.8525174536994169,-1.07172350969859,-0.19633498305024016,-0.8185287179062757,-1.0217531603853707,1.0,0.0,0,-0.007474758434218284,2012-05-22 11:00:00,1.27635,-0.0012527895777817988,1.0,0.4621171572600098,1.0,0.46211715726000985,-0.0012527895777817988,-0.0008223201638127566,-0.0005789355583294928,-0.00038000825645873656
60056,77556,-0.3835030766806882,-0.8702587862489737,-1.0835449294988753,-0.23167856211548843,-0.8192652449725139,-1.022388288015096,1.0,0.0,0,-0.007314228439531736,2012-05-22 12:00:00,1.2757,-0.0005093944194317079,1.0,0.4621171572600098,1.0,0.46211715726000985,-0.0005093944194317079,-0.0013317145832444646,-0.000235399901031894,-0.0006154081574906306
